#chr1_GL383518v1_alt	0	44686-45485,57351-57437,57985-58069,63655-65456,67780-67940,68978-69109,70401-70519,71342-71440,74271-74464,76226-76318,77011-77091,77527-78377,79425-79548,79933-80063,80530-81435,81644-81764,83313-84532,85593-86545,86898-87012,87385-87434,88470-88664,89038-89782,89888-93428,93762-96861,99515-99526	189
0	db0464fa-b50c-4c14-83da-1619fe450de1	chr1_GL383518v1_alt	+	0	44686-45485:0-754:9M3D5M3D5M2D17M1D1M1D5M1D14M2I6M1D8M2D1M4D10M2D7M1D31M2D14M4D2M4D25M1D43M2D5M1D3M2D16M3D10M1D14M1D2M2D3M1I19M1I6M2D10M3I4M1D18M1I7M2D35M1I21M1I22M1I23M1D19M1D9M2D23M1D24M2D7M2D67M2D25M1D13M3D10M1I41M5I3M1I10M3I9M2D52M	57351-57437:754-838:46M2D38M	57985-58069:838-921:14M1D30M1D13M1D3M1I10M1I11M	63657-63771:921-1032:7M1D10M1D28M1I14M1I24M1D9M1I10M3D6M	63979-64064:1032-1116:59M1D25M	65389-65456:1116-1181:46M1D16M1D3M	67795-67940:1181-1324:42M1I86M2D4M1D10M	68979-69109:1324-1450:24M1D33M1I30M2D13M2D25M	71342-71440:1450-1547:4M1I9M2D31M1I37M1D14M	74272-74464:1547-1748:26M1I8M4I8M2I16M1I33M1I59M1D37M1I4M	76226-76314:1748-1833:2M1I4M1I30M2D22M3D25M	77012-77091:1833-1913:30M1I33M1D3M1D3M2I8M	77527-77619:1913-2002:1M1I17M2D62M1D3M1D5M	78270-78377:2002-2109:41M1I47M1D18M	79428-79548:2109-2228:2M1D15M1D60M1I31M1D4M1I5M	79933-80063:2228-2359:15M2I4M1D14M1D30M1D38M1D6M1I15M2I4M	80532-80587:2359-2415:48M1I7M	80818-80922:2415-2517:6M1D47M1D6M1I6M1I2M2D1M2D6M1I21M1I3M	81390-81435:2517-2565:16M3I29M	81644-81764:2565-2688:44M1D18M1I20M2I6M1I31M	84374-84528:2688-2842:13M1D23M1D94M2I22M	85593-85662:2842-2907:29M3D29M1D7M	86469-86545:2907-2982:45M1D30M	86898-87012:2982-3090:15M1D33M1D9M2D19M2D32M	87385-87434:3090-3138:12M1D36M	88496-88664:3138-3306:46M3I14M2D38M1D1M3D15M3I48M	89040-89140:3306-3405:73M1D26M	89339-89412:3405-3479:19M1I54M	89627-89782:3479-3628:7M2D4M1D30M1D40M1D27M1D41M	89893-90780:3628-4481:92M3D4M1D10M1D14M1I27M3D8M2D20M1D8M1D16M2I3M2D35M1D9M1I11M2D11M1I29M2I6M1I51M1D11M1D8M1D4M1D21M2D45M1I10M1D8M1I7M1D10M1I35M1D7M1I3M1D3M2D23M1D39M1D18M1D30M1I14M1I54M1D45M1I2M2D8M4D8M4D6M4D31M1D2M1D32M
1	042e5691-25cf-41d0-93fb-2e5f15e2ea02	chr1_GL383518v1_alt	+	0	44737-45485:0-720:22M1D10M3I13M2D3M1D53M3D3M3D5M2D55M1I15M1D3M1D10M1D3M3D28M1D2M2D16M1I2M1D12M1D7M2D8M1I19M1D13M2D23M3I70M1I19M2D1M1D5M1D25M1D20M1D4M1D4M1D70M1I41M4D18M1D8M1I16M1I18M2I9M2D52M	57351-57435:720-807:14M1I2M2I1M1I4M1I25M2D36M	57985-58069:807-886:21M2D26M2D25M1D7M	63657-63771:886-998:1M1I17M1D11M1I40M1D19M1D16M2D2M1I3M	63979-64064:998-1081:2M1I18M2D17M1D45M	65389-65456:1081-1147:17M1D49M	67795-67940:1147-1282:5M1D19M2D49M1D42M2D5M4D15M	68979-69109:1282-1410:30M1D12M1I26M1D29M1D30M	71342-71440:1410-1503:50M2D1M1D10M4I16M5D11M1D1M	74272-74464:1503-1683:6M1D15M1I1M2D56M2D8M1D5M1D1M1D2M1I3M1D41M1D2M1D29M3D9M	76226-76314:1683-1770:2M1D33M1D13M1I38M	77011-77091:1770-1852:2M1I5M2I28M1D44M	77527-77619:1852-1943:12M1D2M2D9M3I3M1D23M1I13M2D17M1I7M	78270-78377:1943-2041:24M1D26M3D3M2D8M1I21M4D15M	79428-79548:2041-2164:23M5I75M3D6M1I13M	79933-80063:2164-2281:5M1D8M1D55M2D27M1D4M1D6M4D1M2D6M1D5M	80532-80587:2281-2334:2M2D51M	80818-80922:2334-2438:4M1I26M1I5M1D5M1I3M2I6M2D5M2I9M2D4M1D24M1D6M	81390-81435:2438-2481:37M2D6M	81644-81764:2481-2595:1M2I15M2D5M3D9M2D9M1D1M2I6M2D9M2D35M2I18M	84374-84532:2595-2747:8M5D15M1D2M1D17M1D72M1I3M1I33M	85593-85662:2747-2814:10M1D18M3D29M2I8M	86469-86545:2814-2889:16M1D3M2I42M2D12M	86898-87012:2889-3004:23M1D27M1I1M1I62M	87385-87434:3004-3052:30M1D18M	88496-88664:3052-3224:58M1I13M1I17M1I32M1I48M	89040-89140:3224-3323:58M1D41M	89339-89412:3323-3395:17M2D3M1I51M	89625-89782:3395-3548:29M1D13M2D34M1D35M1D15M1I26M	89893-90780:3548-4382:4M1I20M1D11M1D6M3D28M2D1M1D21M1D16M2I16M1D9M1D13M3D5M1D24M1D2M1D1M1D12M5D2M1D6M2I11M4I29M2D1M2D5M1I8M2I11M4D45M1D3M1I28M1D11M1D13M1D25M1D21M2D46M1D8M1D35M1D57M1I2M1D19M1D18M1D15M1D14M1I13M1D13M1D18M1I11M1D28M1D29M4D3M1D2M6D6M5D5M3D68M
2	11d4d577-8bad-40af-8994-f957deaa3e9e	chr1_GL383518v1_alt	+	0	44761-45485:0-700:12M1D12M1D32M1D13M4D12M1D7M1D22M1I36M2I12M1D3M2D14M5D5M2D38M1D12M2D12M1I27M2I6M1I1M2D27M2I14M1D15M1D27M3I10M1D12M1I7M1D64M1D3M2D63M3D2M1D8M1D3M1I1M1I50M1D39M1I12M2D43M1D8M	57351-57435:700-777:43M5D22M1D11M1D1M	57985-58069:777-856:14M2D12M1D20M2D33M	63657-63771:856-971:54M1I60M	63979-64064:971-1054:16M1I10M3D56M	65389-65454:1054-1120:8M1I9M1D23M1I24M	67795-67940:1120-1261:26M1I42M2D25M1D22M1D10M1D15M	68979-69109:1261-1390:84M1I40M2D4M	71342-71440:1390-1486:15M1D38M2D32M1I10M	74272-74464:1486-1680:25M1D44M1I6M1I2M1I15M3I1M1D24M1D30M1D41M	76226-76314:1680-1766:2M1D11M2D19M1I53M	77011-77091:1766-1846:80M	77527-77619:1846-1935:10M1I4M1D52M3D22M	78270-78377:1935-2039:57M4D18M1I9M1D14M1I4M	79428-79548:2039-2158:25M1D94M	79933-80063:2158-2287:1M2I13M1D51M1D13M1I24M1D19M1D5M	80532-80583:2287-2339:19M1I32M	80818-80922:2339-2439:7M1I28M1D18M1D14M2D1M1D31M	81390-81435:2439-2484:45M	81644-81764:2484-2603:1I60M3I36M3D1M2D18M	84374-84528:2603-2762:41M1D15M2I4M2I80M2I13M	85594-85662:2762-2831:32M2I2M2D4M1I28M	86469-86545:2831-2902:45M1I8M6D17M	86899-87012:2902-3018:26M1I8M6D12M1D27M1D5M8I7M2I20M	87385-87434:3018-3069:18M1I12M1I19M	88496-88664:3069-3245:37M1I21M1D23M4I13M1D47M2I2M2I2M1I21M	89040-89140:3245-3342:5M2D51M1D41M	89339-89412:3342-3413:26M2D45M	89625-89782:3413-3565:1M1D2M1D1M1D35M1D3M1D21M2I11M1D35M1D41M	89893-90780:3565-4395:86M1I13M1D22M1D29M3D21M1I18M3D17M1D43M1D5M1D4M2D3M1I5M2D28M2D28M1D14M2D11M1D3M2D19M1D4M2D11M1D8M1D15M1D49M1I11M1D4M2D41M1D9M3D61M1D18M2I26M2D27M1D39M1D21M1D29M2D4M1I4M9D3M4D6M3D38M3D9M1D17M
3	6ff79ffe-431f-47a1-94f9-191e56866003	chr1_GL383518v1_alt	+	0	44762-45485:0-714:12M1D6M2D3M1D5M2I27M3I24M1D4M1D1M1D32M1D10M1I17M1I16M9D11M3D17M1I28M1I3M1D23M1I5M2I3M1D20M1D22M1I14M2I14M1I4M2I30M1I8M1D30M1I1M2D7M5D17M1D13M1I16M2D2M1D40M1I70M2D25M1D41M6I27M1I37M	57351-57435:714-797:10M1I41M2D31M	57985-58069:797-884:13M2I10M1I5M1D24M1I31M	63657-63771:884-1000:16M1I52M1I46M	63979-64064:1000-1083:73M2D10M	65389-65456:1083-1150:17M1I25M1D24M	67795-67940:1150-1296:5M1D22M1I47M1I52M1I7M1D10M	68979-69109:1296-1419:30M1D4M1D7M1D17M3I1M1D30M1D3M2D19M2D5M1D4M	71342-71440:1419-1519:11M2I4M1D14M1I4M1I23M1D25M1D12M1I2M	74272-74464:1519-1709:22M2I3M1D11M2I25M2I29M1D4M1I2M1I21M1D2M1D14M1D9M1D2M1D6M1D30M2D2M	76226-76314:1709-1798:7M2I29M2D26M1I4M1I8M1D4M1D4M1I2M	77011-77091:1798-1877:17M2D4M2I17M1D39M	77527-77619:1877-1958:29M1D14M1D10M2D6M8D17M1I4M	78270-78377:1958-2059:10M1D20M1D25M2D18M2D28M	79428-79548:2059-2170:18M1D60M3D4M1D22M4D7M	79933-80040:2170-2277:1I85M1D7M1D9M1D1M2I2M	80532-80587:2277-2334:5M4I6M1D17M1D25M	80818-80922:2334-2432:13M1I16M1D4M1D33M2D1M1D18M2D12M	81390-81435:2432-2480:21M4I7M1D16M	81644-81764:2480-2595:1I35M2D7M1D10M1D1M1D7M2D35M1I18M	84374-84528:2595-2750:12M1D14M1I14M1I26M1I8M1D19M1I6M3D18M3I14M1D17M	85593-85662:2750-2821:16M1I2M1I51M	86469-86545:2821-2898:3I2M1D52M1D20M	86898-87012:2898-3015:23M2I27M2D36M2I14M1I12M	87385-87434:3015-3057:4M1D18M3D10M1D4M2D6M	88496-88664:3057-3221:9M1D23M1I4M1D21M4D38M1D17M2I49M	89040-89140:3221-3319:5M1I7M1D28M1D16M1D41M	89339-89412:3319-3388:19M2D10M2D40M	89625-89782:3388-3535:10M1D1M1D28M1D10M1D37M1D8M1D8M2D5M2D40M	89893-90780:3535-4396:36M1I13M1I16M2I15M1I7M1D11M1D10M1I15M1I10M1D32M1D37M1D13M2D10M1I38M1D28M2I10M2D43M2D15M1D19M2D4M2D20M2D11M1D39M2D13M2D26M1D29M1I8M2D14M2D7M1D24M1I36M1I11M1I3M1D35M1D15M1D15M1I5M2I6M1D12M2D7M2D26M1I2M2D28M2D13M2D15M1I8M1D32M
4	046da3ba-0024-4f82-89e8-aaf25bcb7ded	chr1_GL383518v1_alt	+	0	44762-45485:0-704:7M1D14M1D7M1I31M1I10M1I6M1D8M3D30M2D45M1D16M3D3M1D7M1D18M1D2M2D18M1D24M1I2M1D17M1I7M2D26M2I4M1I26M1D2M1D61M1D6M3D16M1I19M1D23M1D20M2D7M2I18M2I62M2D10M2I2M2I10M1D40M2I11M3D13M1D37M	57351-57435:704-786:46M2D36M	57985-58069:786-865:5M1I9M1D9M1I24M2D1M1D7M2D15M1D7M	63657-65456:865-2648:18M1D35M1D73M1D35M1D17M1D40M2I47M1I7M2D14M2I17M1I49M1D18M1I10M1I13M3I57M1I50M3I42M2I13M1I23M1D38M3D1M2D10M2I35M1D69M2D33M1I6M1D3M1I26M1D6M1I10M1D13M1D4M1D32M1D25M1D36M3D43M1I8M1D31M1I24M1D14M2D37M1D47M2D13M2D12M1D32M1I25M1I42M1D21M1I3M2D17M1I20M1D18M4D5M2D13M2I16M1D14M1D8M1I22M1I14M1D9M1D27M3I5M1D6M1D29M1D19M1D78M1I10M1I115M1I22M	67795-67940:2648-2798:6M3I36M1I19M1I21M2I1M1I23M1D13M1D13M1D10M	68979-69109:2798-2930:2M2I23M1I17M1D87M	71342-71440:2930-3027:7M1D38M1I8M1D9M1I19M1D14M	74272-74464:3027-3224:26M1I26M2I21M1I2M1D18M2I3M1D52M1D14M2I27M	76226-76314:3224-3313:52M1I36M	77011-77091:3313-3395:17M1D1M2I36M3I4M1D8M1D11M	77527-78377:3395-4207:15M1I18M1I2M1I9M1D8M1I7M2D5M3D59M1D6M1D60M1D39M1D2M3D3M1D11M2D56M3D79M1I19M2D43M1I38M2D19M1D12M1D18M2D13M1D15M1D3M2D16M1D15M1D54M1D4M7D44M1D28M1I38M2D8M1D10M1D9M1D9M2I9M	79428-79548:4207-4321:26M2D11M1I13M1D27M3D3M1D33M	79933-80063:4321-4449:14M1I14M1D13M1I9M1I6M1D35M1D10M1D19M1D5M	80532-80587:4449-4504:55M	80818-80922:4504-4602:6M1D29M1I17M1D12M1D3M5D25M1I4M	81390-81435:4602-4651:16M3I14M1I15M	81644-81764:4651-4768:1I36M3D15M2D40M1I24M	84374-84528:4768-4919:13M1D18M1D2M1D28M1I53M2D20M1I15M	85594-85662:4919-4984:14M1D13M3D21M3I8M1D3M1D3M	86469-86545:4984-5061:14M1I62M	86898-87012:5061-5175:47M2D47M2I18M	87385-87434:5175-5222:12M1D17M1I11M2D6M	88496-88664:5222-5396:4M1I127M1I10M1I16M3I11M	89040-89141:5396-5497:41M1I19M1D40M	89341-89412:5497-5569:38M1I33M	89625-89782:5569-5724:13M1D101M1D41M	89893-90780:5724-6578:15M1D73M1D9M2D11M1D60M1D20M2D55M1D9M2D2M1I6M1I30M1I39M1I7M1I24M1D14M2D9M2D11M1D24M1I10M1D29M2I9M1I22M1I5M1D19M1D12M1I20M1D20M2D17M1D3M1I29M1D44M1I10M1D15M1D23M1D3M1D17M1D27M1I2M2D20M14D24M1D42M
5	2a9893ed-ae2f-4ec0-9bd8-0c8b1ea1903a	chr1_GL383518v1_alt	+	0	44767-45485:1-693:6M1D18M2D6M2D46M1D1M1D6M1D7M1I14M2I8M1D6M2D32M1D3M1D14M2I10M1D8M2D8M3D1M2D3M1D8M2D33M2I17M4D3M2D23M1D7M1D2M2I11M3D39M1D9M1D3M1D6M2I4M1I29M1D18M1I2M1I66M1I16M2I12M1D11M2D4M2D4M2I8M1D12M1D10M5I12M1D32M1I19M2D41M1D6M1D3M	57351-57435:693-776:51M2D28M1I3M	57985-58069:776-864:14M1D34M2I16M2I8M1I11M	63657-63771:864-982:37M1I15M1I1M1I39M1I22M	63979-64064:982-1064:37M1D6M1D10M1I17M2D11M	65389-65456:1064-1134:6M2I32M1I29M	67795-67940:1134-1274:5M1D28M1I7M1D10M2D9M1D4M1D76M	68979-69109:1274-1401:2M1D76M1D45M1D4M	71342-71440:1401-1491:13M2D8M1I5M2D27M1D20M1D3M1D2M2D11M	74272-74464:1491-1676:3M1I1M3D28M3D39M2D22M1I4M2D30M1I55M	76226-76314:1676-1765:7M1I2M1I10M4I20M2D13M1D18M2D13M	77011-77091:1765-1846:20M2I9M1I6M1D12M1D11M1I5M2D1M1D5M2I6M	77527-77619:1846-1939:1M1I11M1I74M1D5M	78270-78377:1939-2052:13M2I1M1D2M1I49M1I3M1I13M3I5M1D19M	79428-79548:2052-2161:18M1D37M2D18M3D6M3D14M1D5M1D11M	79933-80063:2161-2286:1I14M1D4M1D10M1I8M2I27M1D5M2D2M1D21M2D5M1D15M1I4M1D5M	80532-80587:2286-2344:23M3I32M	80818-80922:2344-2444:28M3I7M1I16M2D10M2D4M2D1M2D30M	81390-81435:2444-2488:19M1D25M	81644-81764:2488-2610:1I33M3D18M3I15M1I27M1I6M1D17M	84374-84528:2610-2766:12M1D13M4I4M1D4M1D28M1I25M1I4M2I11M1D2M1D28M1D17M	85593-85662:2766-2835:10M1D26M1I2M1I22M1D7M	86469-86545:2835-2906:45M1D19M3D4M1D3M	86898-87012:2906-3018:24M3I1M2I18M2D2M2D8M1D5M2D49M	87385-87434:3018-3068:4M2I26M1D18M	88496-88664:3068-3235:10M2D14M3D31M2D8M1D4M1I14M1I7M2I23M1I39M2I10M	89040-89141:3235-3335:60M1D40M	89339-89412:3335-3408:73M	89625-89782:3408-3551:10M3D28M1D3M2D5M4D59M1D11M3D27M	89893-90780:3551-4420:19M3D42M1D22M2I8M1I17M2I11M1I19M1D9M3D13M1D7M2D12M1I43M1I34M4D18M1D20M1I33M1I28M1D54M2D4M1D9M1I33M2I9M1I31M2D6M1D9M1D18M1I6M3I20M1D6M1D20M1I12M1D9M1D21M1I3M1D14M1I5M1I4M2D10M1D15M1I9M1I28M1D10M1I5M1D35M4D8M4D16M1D60M
6	4a596ddb-71e7-4687-b68b-811718e14901	chr1_GL383518v1_alt	+	0	44770-45485:7-692:12M1D3M1D10M1D12M3D12M3D13M3D8M2I4M1D12M1I23M1D32M1D6M1D14M2D45M2D2M1D14M1D8M2D5M1I1M2I23M2D19M1D3M1D10M1D81M1D7M5D1M1D14M4I36M1D5M1D2M2D46M3I10M1I8M1D14M1I30M1D22M1D18M3D30M2D33M2I3M1I16M	57351-57435:692-776:84M	57985-58069:776-860:14M1D9M1I35M1D10M1I14M	63657-65456:860-2635:16M2D36M2I74M1D36M1D26M2I20M1D5M2D50M1D4M1D17M1D8M1D9M1D4M1D10M1D129M1D3M1I27M2D52M2I20M1D3M1D9M1D8M1D10M2I58M1D18M2D6M1D15M1D14M1D6M2D25M1D46M1D32M2D57M1D8M1I5M1I4M1D26M3D69M1D21M2D7M2D23M1D28M1I25M1D23M1I8M3I17M2I2M1I11M1D3M2D25M1I10M1I7M2I37M1I51M1I4M1D14M1I22M1I63M1I16M1D23M1D17M5I43M1D20M1D12M2D43M1I109M1D2M2D11M1D28M1I7M2I17M1I9M3D14M	67795-67940:2635-2775:5M1D58M2D62M2D15M	68980-69109:2775-2905:43M2I1M1D58M1D7M1I18M	71342-71440:2905-3005:13M2D15M4I31M1I35M1D1M	74272-74464:3005-3193:77M2D14M1D9M1I18M1D28M1D41M	76226-76314:3193-3280:7M1I2M1D22M1D55M	77011-77091:3280-3360:35M1I33M1D11M	77527-77619:3360-3447:12M1D3M2I5M2D17M1I23M1D4M1D6M2D10M1D4M	78270-78377:3447-3553:8M2D56M1I41M	79428-79548:3553-3667:86M1D20M5D8M	79933-80063:3667-3799:36M1D2M1I7M3I78M1D5M	80532-80587:3799-3850:19M1D3M3D29M	80818-80922:3850-3947:4M2D2M1I22M2D22M1D14M2D1M1D31M	81390-81435:3947-3992:30M1I10M1D4M	81644-81763:3992-4102:35M8D10M1D65M	84374-84526:4102-4253:7M1D78M1I50M1D15M	85593-85662:4253-4322:25M2I19M1D22M1D1M	86469-86545:4322-4393:11M1D2M1D4M1D42M2D12M	86899-87012:4393-4506:62M2I17M2D16M1D11M1I4M	87385-87434:4506-4554:30M1I5M2D12M	88496-88664:4554-4723:1M1I59M2D15M1I43M1I48M	89040-89412:4723-5095:29M2I26M2D66M1I5M1I36M2I37M1I2M1I65M1I17M6D29M1D51M	89625-89782:5095-5251:1M1D3M1I7M1D6M2I20M2D14M1I60M1D41M	89893-90780:5251-6093:6M3D43M1D11M1D34M1D33M2D33M1D25M2D4M1I28M1I5M1I18M1D9M2D1M3D21M2D8M2I14M1D7M1I27M1I24M1D25M1D9M1I11M1I16M4D24M1D5M1I41M1D5M1D28M1D8M2D23M1I47M1I20M1D7M1D20M1D7M1I10M1D25M1D17M1D14M1D17M1D11M1I17M8D10M7D10M3D18M1D32M
7	01272bd2-1c43-4a82-8183-0b13584342cf	chr1_GL383518v1_alt	+	0	44771-45485:0-674:13M1D5M3D4M1D12M3D6M1D6M2D3M3D8M3D5M1D15M1I62M1D20M4D26M1I2M2D15M1D25M3D31M3D27M2I16M1D47M1D3M1D19M1D9M2D23M1D7M1I11M1D10M1D3M1D110M2D21M1D39M1I11M1I3M1I11M1D1M1D29M1D8M	57351-57435:674-755:21M2D8M1I41M2D10M	57985-58069:755-835:14M1D13M1D20M2D33M	63657-65456:835-2580:69M1D77M2D17M2D76M2D8M1D14M3D13M1D6M3D12M1D4M1D4M1D37M1D5M1D40M3I2M2D66M2D32M1D14M1D30M2D13M2D8M1D8M1D36M1D8M1D11M1I32M1D21M1I19M1D44M2D4M1I26M1D7M1I34M2I30M1D46M2I23M1D3M1D24M1D11M1D55M4D15M1D1M1D4M1D38M1D14M1D47M2D12M1I18M1D5M1D6M1D96M1D19M1I7M1I33M1I17M3D6M2I29M1D12M2D8M1D9M1D21M1D23M1D21M2I12M2I6M1D4M2I8M2D12M1D8M1D43M1D18M1I8M1D62M2D27M3D10M1D9M3I3M1I15M1I18M1D3M	67795-67940:2580-2721:6M3I55M1I11M1D50M3D2M2D5M2D8M	68980-69109:2721-2857:14M4I28M1I14M1I23M1I50M	71342-71440:2857-2954:74M1D8M1D4M1I10M	74272-74464:2954-3141:22M2D33M2D32M1D13M1D44M1D34M2I7M	76227-76314:3141-3225:12M1D22M1D17M1D26M1D4M1I2M	77011-77091:3225-3304:2M1I11M1D21M1D44M	77527-77619:3304-3396:10M2D3M1I8M1I21M1I10M3D15M1I15M1I5M	78270-78377:3396-3498:24M1D32M2D29M1D3M1D14M	79428-79548:3498-3617:18M1I45M1D22M1D33M	79933-80063:3617-3741:19M2D1M1D43M1D12M1D5M1D44M	80532-80587:3741-3795:51M1D3M	80818-80922:3795-3893:6M1D28M1D15M1D17M2D1M1D31M	81390-81435:3893-3937:2M1D42M	81644-81764:3937-4052:1I39M1I2M1D1M3D8M2D36M1D27M	84374-84528:4052-4206:29M2D22M2I101M	85595-85662:4206-4276:7M3I60M	86469-86545:4276-4346:21M1D19M2D27M3D3M	86898-87012:4346-4462:2M2I45M2D40M1I11M1I14M	87385-87434:4462-4510:45M1D3M	88496-88664:4510-4674:7M1D1M1D50M3D90M1I15M	89040-89141:4674-4774:11M1D89M	89341-89412:4774-4843:17M2D52M	89625-89782:4843-4999:1M1I5M1D2M3I35M2I25M1D38M2D5M2D36M1D3M	89893-90780:4999-5835:80M1D16M2D39M1I17M2D16M1D9M1D10M2D6M1D48M1D11M4D18M1D68M2D10M2D3M1D7M1D7M1I5M1D4M1D21M1D15M1D57M1D5M1D14M1I1M2D14M1D6M1D5M1D9M3D9M1D31M1D38M1D15M1D17M2I4M1I119M5D7M4D6M5D23M2D8M1D32M
8	8ca657bc-5bb5-4cd6-863c-1bad48b93a07	chr1_GL383518v1_alt	+	0	44771-45485:0-673:22M2D24M1D6M2D14M2D4M4D5M1D20M2D55M1I12M3D26M3D15M2D17M1I10M3D25M1D7M2D21M1D7M1I12M1I9M1I11M1D14M3I19M1D7M1D27M2I15M1D13M1D22M3D51M3D9M2D4M1I13M3D5M2D17M1D74M2D14M2D36M	57351-57431:673-751:7M1D38M2D25M1D2M2I4M	57985-58069:751-832:14M1D34M2D33M	63657-63771:832-944:1M1I53M1D4M2D47M1D2M1I3M	63979-64064:944-1029:41M1I17M1D26M	65389-65456:1029-1104:33M1I5M3I4M4I25M	67795-67940:1104-1241:5M1D10M3I25M1D26M3D12M1D36M1D5M4D15M	68979-69109:1241-1368:43M1D26M1I33M2D16M1D8M	71342-71440:1368-1457:6M1D6M2D63M1D3M1D5M2D1M2D5M	74272-74464:1457-1645:91M5D4M2I21M1D70M	76226-76314:1645-1728:7M1I7M2D20M2D11M1D3M1D34M	77011-77091:1728-1805:9M1I21M1D4M1D13M2D29M	77527-77619:1805-1889:14M1D11M3D7M1D7M1D37M1D4M1D4M	78270-78377:1889-1992:10M1D12M2D61M1D20M	79428-79548:1992-2109:18M1D20M2D45M1D20M1I13M	79933-80063:2109-2235:5M1D8M1D17M1D91M1D5M	80532-80587:2235-2291:35M1I20M	80818-80922:2291-2386:53M1D13M7D2M1D3M1I17M1D6M	81390-81433:2386-2432:29M3I14M	81644-81764:2432-2548:35M2D7M1D20M1D37M1I10M1D6M	84374-84528:2548-2692:4M3D34M1D59M3D32M1D9M2D6M	85593-85662:2692-2755:15M5D41M1D7M	86469-86545:2755-2825:41M2D2M1D15M3D12M	86903-87012:2825-2929:1I12M2D4M1I24M2D19M1D21M1D7M1D3M1I10M1D1M	87385-87434:2929-2976:12M1D27M1D8M	88496-88664:2976-3140:7M3D48M1D2M1D91M1I15M	89040-89141:3140-3238:3M3D95M	89342-89412:3238-3308:70M	89625-89782:3308-3462:9M2D104M1D41M	89893-90780:3462-4296:3M3D83M1D52M1D45M1I28M2D33M1D5M10D7M1D6M1I7M2D10M2D10M1D26M1D26M2D3M1D12M2D6M1D4M2D6M1D20M2D17M1D38M1D31M1I3M1I8M1I6M1D18M1D12M2D51M1D107M2I68M16D44M1D32M
9	14634ad0-aa2e-4d27-ad73-dc27cc049ace	chr1_GL383518v1_alt	+	0	44771-45485:0-652:21M1I2M1I6M2D8M1I12M6D20M1D1M2D29M1D4M2D11M2I9M2I8M4D21M1D5M3D13M1D16M2D32M3D5M1I3M4D3M1D18M1D7M4D2M1D17M1D27M1I4M1D2M3D1M2I14M3I9M1I7M1D6M3D14M1D10M1D3M1D29M1D12M1I7M1D3M2D17M1I2M2D4M1I7M3D8M1I1M1I10M1D3M3D12M1D5M3D12M1I3M2I7M2D3M1D13M2D7M1D5M1D3M3D15M1D11M1D11M2D11M1D1M2D10M3I2M1D21M2D1M	57351-57435:652-731:7M1I7M2D30M2D24M2D10M	57985-58069:731-804:14M1D28M1D1M2D3M1D6M2D13M2D2M1D4M1D2M	63657-63771:804-919:28M2D16M3I3M1D4M1D22M3I4M1I3M2D28M	63979-64068:919-1003:27M1D39M3D10M2D2M1I5M	65425-65456:1003-1034:31M	67795-67940:1034-1168:5M1D41M1I7M1D13M3D5M1D16M1I27M1D6M5D5M1D7M	68979-69109:1168-1301:12M1D5M1D6M1D4M1D3M2I10M2I2M1D50M1D1M2D16M7I13M	71342-71440:1301-1393:14M1D6M1D28M1D3M1I3M1D23M3D14M	74272-74464:1393-1590:6M1I67M1D22M4D7M2I4M1I10M1D4M1I7M3I9M1I33M1D12M3I4M	76226-76314:1590-1676:4I8M1D4M3D5M2I11M1D3M1D15M2D34M	77011-77091:1676-1755:35M1D44M	77527-77619:1755-1840:6M1I6M1D16M1D24M3D9M2D19M1D4M	78270-78377:1840-1947:5M4I2M3D54M1I6M1I8M3D26M	79428-79548:1947-2068:19M2I17M1I23M1I4M2D45M2D4M1I4M	79933-80063:2068-2203:9M1I14M2I3M1I6M1I35M1I7M1I6M1I24M1D22M2D1M	80532-80587:2203-2258:11M1D18M1I25M	80818-80922:2258-2359:7M2I6M1D21M1I9M1D24M2D1M1D28M1D2M	81393-81433:2359-2396:6M1D5M1D10M2D14M1I1M	81644-81764:2396-2502:2M2I3M3D8M2D17M2D15M3D8M3D17M1I11M2D15M2D7M	84374-84528:2502-2653:2M2I4M5D25M1I1M1I27M1I28M2D1M1D58M	85594-85661:2653-2713:9M3D2M1D8M1I1M1I14M1D2M1D16M2D5M1D1M	86469-86545:2713-2782:13M2D27M1I2M1D12M1D1M1D10M3D3M	86899-87012:2782-2889:31M3D14M1D13M2D15M2D4M2I28M	87385-87434:2889-2933:12M1D17M1D14M3D1M	88496-88664:2933-3095:1M1I9M2D18M5D6M1I5M2I4M1D3M2D3M2D21M1D53M1I3M1I14M1I15M	89040-89141:3095-3192:12M1D13M1D59M2D13M	89341-89412:3192-3264:20M1I29M1I9M1D12M	89625-89782:3264-3418:15M1D3M2D20M1I28M1D45M1D12M2I25M1D3M	89893-90775:3418-4220:3M3D9M1I21M1D9M5D3M1I31M2D12M2D31M1D22M2D16M1I16M1I5M3D5M1D13M2D4M1D8M1D26M6D4M1D5M1D13M6D6M1D11M1D17M1D6M2D4M1D10M2D10M2D7M2D12M4I30M1D14M2D26M1D6M2D5M1D14M3D8M1D8M1D9M1D2M2I8M1I3M3D8M1I7M2D15M1I15M1I20M2D4M2D4M4I2M2I7M1D18M2D6M1I10M2D6M2I3M2I12M1D2M1D3M2D6M2D11M1I18M1D18M1I16M1D8M1I5M1I3M2D22M19D17M1D9M1D14M1D12M
